index	Label	Text
332	Personal Hate	নিজেরই যোগ্যতা নাই মিস বাংলাদেশ হওয়ার, আবার আইসে অন্যদের judge করতে। 
409	Political Hate	নির্বাচন কমিশনের নিজস্ব কোনো ক্ষমতা নেই । 
546	Political Hate	কুত্তার বাচ্চা তোর মুখের ভাষা ঠিক কর । তারেক কি বলবে কি বুঝবে । তুই শালা বাটপার । 
70	Personal Hate	যেমনে খারাপ কথা কস...ঘর থেকে বের করে দিবে..
595	Political Hate	পাঁচ বার দুর্নীতিতে বিশ্ব চ্যাম্পিয়ন বিম্পির দালাল পার্থ ( চোরের বেটা) 
48	Personal Hate	তুই মরবি, হাসপাতাল নিয়ে যাবার জন্য সবাই কে ডাকবি কিন্তু কাউকে পাবি না, সবাই ভাববে প্রাংক। 
914	Religious Hate	নাস্তিক ওরা হলো দুনিয়ার ময়লা, আবর্জনা আর নর্দমার কীট 򘐠ভন্ড এক নাম্বার মিথ্যাবাদী 
10	Personal Hate	মোবাইলের দাম কমানো টা ঠিক হয়নাই এই কারনে গরু ছাগলরা মোবাইল কিনে এমন ভাবে বাংলা লেখে 
786	Political Normal	পিলখানা হত্যাকাণ্ডে অফিসারদের ফ্যামিলিকে সরকার ও ব্যাংক ও অন্যান্য সবাই যে অাথির্ক সাপোর্ট দিয়েছে তা নৈতিকভাবে সমথর্নযোগ্য।
312	Personal Hate	মাথার ভেতর কী? পায়খানা?
791	Political Normal	আওয়ামিলীগকে একবার ভোটদিয়ে ভুল করেছি।
964	Religious Hate	সানি তুমিতো বললে কোন ধর্ম বিরুধী না,তাহলে দেখতে পাচ্ছি কুখ্যাত একটা ইসলাম বিরুধী।
234	Personal Hate	খানকির পোলাগো ভাষা দেখো 
899	Religious Hate	বকলম মুসলমানদের যতই বলা হয় আমি নাস্তিক, এরা তত বেশি করে দুর্গা-কালিকে গালি দিবে
1102	Geopoitical Hate	ইন্ডিয়া ইচ্ছে চারালের দেশ 
171	Personal Hate	নাটকের ভালো একজন অভিনেত কে কাকে বললি সালার মাদার চোদ 
1187	Geopoitical Hate	বাংলাদেশের মতো বন্ধু দরকার নেই ইন্ডিয়ার বাংলাদেশে সুধু চোর গুন্ডার আড্ডা 
89	Personal Hate	এই ছাগল টাকে দেখলেই থাবড়াইতে মন চায়। 
470	Political Hate	আরে বেটা মাহি গাবি না কিনে বালতি নিয়া চিন্তা করস 
350	Personal Hate	মদ খা শালারপুতেরা
1339	Gender abusive hate	চুতমারানি তোরে চুদী। কুত্তা দিয়া চোদামু 
1061	Geopoitical Hate	আমার হাতে পতিদিন ভারতেরর মানুষ মার খাই আমি একজন বাংলাদেশি
124	Personal Hate	এই জংলী প্রাণিটার নাম কি।মাথায় আওয়ামি কাউয়ার বাসা।
366	Personal Hate	মাদারচোদ পুটকিতে মরিচ ভইরা দিমু! 
1232	Gender abusive hate	এটা কমিশনার এর মেয়ে খানকিমাগির মেয়ে 
518	Political Hate	শালা চোর এর বাচ্চারা 
1371	Gender abusive hate	তোর ভাষায় বুজাযায় তুই কেমন ঘরের মেয়ে। তোরে পাইলে কুত্তা দিয়া পাল দেওয়াইতাম বেশ্যা 
1032	Geopoitical Hate	অই দেশে এখনো টয়লেট নিয়া প্রচার করে
261	Personal Hate	এই মাগিকে দিয়ে বারা চুসানোর ইচ্ছা করতেছে 
1002	Geopoitical Hate	১৯৭১ সালে নয় মাসে মাত্র ৪০ লক্ষ নারী ধর্ষিতা হয়েছিলেন। এক সাথে থাকলে পুরো চার কোটি নারীর পেটে বাস্টার্ড/বেজন্মা সন্তানে সারা দেশ ভরে যেত।
599	Political Hate	তোদের সকল বিবেক বিসর্জন দিয়ে ই তোরা বিবশ্র লীগয়েই পরিনত হয়ে চিছ শালা শালা ভাদা,! 
294	Personal Hate	বাংলায় ভোদা বললে দোষ আর ইংলিশ এ গুদ শুনতে খুব ভালো লাগে একেবারে মন ভইরা সোনা খারায়া যায় না?
1227	Gender abusive hate	পাচাও দুধ এক নামবার, তুমার জামা কুলে ফেল আরও সুন্দ হবে 
955	Religious Hate	তুই মরলে কুততা দ্বারা কবর দেয়াইস। 
390	Personal Hate	শেষের টা মাথাল 
1057	Geopoitical Hate	ভারতের দালালে দেশটা বরেগেছে ভাই 
118	Personal Hate	ফাক ইউ ব্লাডি সাজু খাদেম। 
821	Religious Hate	এরা মুসলিম স্টেট এ শুয়োরের মতো মুসলিম শোরের বাছা জম্ম দেবে আর অন্য জাগায় কাফের হত্যায় পাঠাবে । 
266	Personal Hate	তুই কি পতিতালয়ে জন্ম্য নিছিস
138	Personal Hate	বালের আবালের মত খালি ইংলিশ মারাও না! 
290	Personal Hate	তোদের ভোদার রস যখন শুকিয়ে যাবে তখন তোদের কুত্তাও চুদবেনা 
1393	Gender abusive hate	সব সালির বোদা দিয়ে ৬ সুতার রড গরম করে দিতে হবে
723	Political Normal	আপনার হাত ধরে আমরা সামনের দিকে এগিয়ে যেতে চাই 
1323	Gender abusive hate	আপু অনেক নিতে পারে। উফ কিভাবে এত ছেলের সাথে পারে? 
846	Religious Hate	বাংলাদেশের মিডিয়া ভারতের হিন্দুদের দালাল..
157	Personal Hate	ফান আর নোংরামীর পার্থক্য আছে যেটা আপনার শিখা উচিৎ।
684	Political Normal	আসল পলিটিশিয়ান তো উপস্থাপক জিলু ভাই
1291	Gender abusive hate	এই সপ বেসসা পোতিতাদের মা বাপ নাই 
448	Political Hate	মাহি তোর মুখে আল্লাহর নাম মানায় না কারণ তো ইসলাম বিদ্বেষী 
866	Religious Hate	ইহুদীরা মানুষ খারাপ, 
1063	Geopoitical Hate	বাস্টার্ড এর বাচ্চা ইন্ডিয়ান। 
