business,ജോലിയില്‍ നിന്ന് ഒരു ബ്രേക്ക് എടുക്കുന്നതിനു മുന്‍പ്..
business,കമ്ബോളങ്ങള്‍ കരടിയുടെ പിടിയില്‍
business,കൊച്ചി മെട്രോയുടെ ബ്രാന്‍ഡ് അംബാസിഡറായി നടന്‍ സുരേഷ് ഗോപിയെ നിയമിച്ചു
business,"ഇന്ധനവിലയില്‍ വീണ്ടും വര്‍ദ്ധനവ്, പെട്രോളിന് 14 പൈസയും ഡീസലിന് 15 പൈസയും വര്‍ദ്ധിച്ചു"
sports,ഫെഡറേഷന്‍ കപ്പ‌് അത‌്‌ലറ്റിക‌്സിന‌് ഇന്ന‌് തുടക്കം
business,ഓഹരി സൂചികകള്‍ നേട്ടത്തില്‍;  196 പോയന്റില്‍ ക്ലോസ് ചെയ്തു
sports,കോഹ്ലിയെ വീഴ്ത്തുന്നതിങ്ങനെ ; തന്ത്രം വെളിപ്പെടുത്തി ഷെയിന്‍ വോണ്‍
entertainment,ഗ്ലാമറായി പ്രിയാ വാര്യര്‍; ശ്രീദേവി ബംഗ്ലാവിലെ ലൊക്കേഷന്‍ ചിത്രങ്ങള്‍ വൈറലാകുന്നു
sports,"ഇന്ത്യ , ഇംഗ്ലണ്ട്‌ രണ്ടാം വനിതാ ട്വന്റി 20 യില്‍ ഇംഗ്ലണ്ടിന്‌ 5 വിക്കറ്റ്‌ ജയം"
business,അനില്‍ അംബാനിയുടെ ജാമ്യാപേക്ഷ കോടതി തള്ളി; എറിക്​സണ് 453 കോടി നല്‍കണം എന്ന് സുപ്രീംകോടതി
sports,എം എസ് ധോണിയുടെ ഹെലികോപ്‌ടര്‍ ഷോട്ടില്‍ ഐപിഎല്‍ പരിശീലനത്തിന് തുടക്കം കുറിച്ച്‌ ഹാര്‍ദ്ദിക് പാണ്ഡ്യ
business,ലൈഫ് ഇന്‍ഷുറന്‍സ് പ്രീമിയം ഏപ്രില്‍ മുതല്‍ കുറയും
entertainment,"ബിഹാറിനെ ഇളക്കിമറിക്കാന്‍ കോണ്‍ഗ്രസ്; രാഹുലിന്റെ വിളികാത്ത് പ്രമുഖരുടെ പട, ഇത്തവണ പൊടിപാറും"
sports,ആദ്യ സീസണില്‍ തന്നെ ഐലീഗില്‍ മൂന്നാം സ്ഥാനം സ്വന്തമാക്കി റിയല്‍ കാശ്മീര്‍
sports,48.2 ഓവറിലെ ട്വിസ്റ്റ് ഇന്നലെയും; ഇന്ത്യന്‍ ടീമിനെ വിടാതെ പിടികൂടി 48.2ാം ഓവര്‍
sports,ഇനിയും നാണം കെടരുതെന്ന ഒരൊറ്റ ലക്ഷ്യവുമായി മുംബൈ ഇന്ന് ഗോവയ്ക്ക് എതിരെ
business,"സ്വര്‍ണവില റെക്കോര്‍ഡില്‍ ; പവന് 25,160 രൂപ"
entertainment,"'ഇത്ര പ്രായം ആയില്ലേ, ഇനിയെങ്കിലും മാന്യമായി വസ്ത്രം ധരിക്കൂ'; കസ്തൂരിയെ വിമര്‍ശിച്ച്‌ സോഷ്യല്‍ മീഡിയ"
business,"മാക്‌സ് ഭൂപയുടെ 51 ശതമാനം ഓഹരികള്‍ ട്രൂ നോര്‍ത്ത് ഫണ്ടിന് വിറ്റു; ഇടപാട് 510 കോടി രൂപയ്ക്ക്, ആരോഗ്യ ഇന്‍ഷൂറന്‍സ് മേഖല വിടുകയാണെന്ന് മാക്‌സ് ഇന്ത്യ"
entertainment,ലൂക്കയിലെ പുതിയ ലൊക്കേഷന്‍ സ്റ്റില്‍ പുറത്തുവിട്ടു
business,കോ​ഴി​ക്കോ​ട് വി​മാ​ന​ത്താ​വ​ള​ത്തി​ലെ കാ​ര്‍ പാര്‍​ക്കിം​ഗി​ന് 15.5 ഏ​ക്ക​ര്‍ ഭൂ​മി ന​ല്‍​കും
