असलामवेल्कम	AslamWelcome
ढोलो	Dholo
नैमहिद	Namhid
सेक्स	sex
डेस	Des
ज्द्रक्वुलाहु	Zdrakvulahu
भाजपा	BJP
खरीदते	Buy
विरोधी	opponent
बॉस	boss
हाहाहा	Hahaha
भोकने	Bhokne
लगेगा	Take
दिलदार	affectionate
प्रिंसिपल	principal of a college
ज़ाकिर	Zakir
पाडकर	Padkar
ईईक	Eik
टिंका	Tinka
मेलुंगा	Melunga
आत्मा	soul
गावोन	Village
उन्के	Their
विरोड	Virod
गा	Indicates future tense singular masculine
नीता	Nita
अपुन	Apun
घोडे	Horse
कफुज	Kafuz
वार्टलाप	Conversation
लेक	Lake
आत्याचार	Atrocities
ओकय	Okya
पैसा	The money
नुक्सान	disadvantage
हामने	We are
ब्यूटी	Beauty
उठायेगा	Will pick it up
जाके	Go
उठाये	Taken
लवली	Lovely
ओसामा	Osama
अनपध	Uneducated
जायेगे	Will go
खालुंगा	I will eat
किसिस	Kisis
जिम्मदारे	Responsibilities
सक्स	Sax
सुपरमैन	superman
जोड़ी	couple
अंट	Ant
डे	De
गली	lane
छोड़ते	Leave
ममी	an embalmed body
अदायें	Payments
बादशाह	king
भजान	Hymns
कायदा	formula
हुट	Hut
नुनीई	Nunii
पीट	kick
फरियाद	compliant
लागोस	Lagos
शाफ	Shaff
लायेगे	Will bring
चमचा	big spoon
हिले	Hile
ब्रबड	Brewed
डब्बी	Box
प	The twenty-first consonant of the devanagari syllabary
करवाकर	Get it done
गील्ली	Gilli
राठौर	Rathore
षड्यंत्रा	Conspiracy
सांस्डों	MPs
पपल	Papal
यादव	descendant of Yadus
प्रवचंबाबा	Father of the Prophet
केरेंगे	Will do it
विचो	Vicho
कातिलो	Katilo
सईद	Saeed
पड़ने	Falling
भूमत	Bhoomat
से	from
मुझसे	from me
ओप्चारिक्ता	Vacancy
मकसूद	Maqsood
पाण्डे	Pandey
शहीददिवस	Martyr's Day
जहानामी	Jahanami
स्छा	Good
एज्ज़त	Respect
