খুলেনা	Don't open
বর্জন	Exclusion
দুইশো	Two hundred
শ্রবণ	Hearing
ওনার	His
বাজেট	Budget
সংবিধানেই	In the Constitution
রহিলো	Rhillo
ঈমাণহারা	Imanhara
বুড়িমারির	The old man
ইতালি	Italy
একসাখে	In a way
কাকিমার	Aunt
করাহোক	Let's do it
লিভার	Liver
ওবায়দুল্লাহ	Obaidullah
নেবে	Will take
প্রতিজ্ঞাবদ্ধ	Committed
শুনলে	If you listen
ঐখানেই	There
বুড়ার	The old man
বেইশ্যা	Beishya
ঘরানা	Genre
নির্বোধের	The fool
জিনিসের	Things
৫২	- 52
নির্বাচনে	Election
রাসুলুল্লাহ	Prophet
ওগুলো	Those
সেজে	Dressed up
আয়নালের	Aynal
খেতাপুরি	Khetapuri
পিঠা	Pizza
জিও	Geo
আরেকজন	Another
ইনডেক্স	Index
ঠোংগা	Thonga
মেনশনটা	The mansion
প্রফেশনাল	Professional
কনদোল	Condol
রাখলেন	Kept
মিউজিক	Music
হারামি	Harami
১৮	- 18
শীতকালেই	In winter
প্ল্যাটার	Platter
খওয়া	Khawa
খাবেই	Eat
সুন্দরর	Beautiful
ক্ষনি	Decay
প্রতু	Protu
তিনিই	He is
জিলা	Zilla
মনিরুল	Monirul
প‌রের	P. r.
সাখি	Sakhi
কইতে	Where
পাইছি	Got it
ফারুর	Farroor
কিরকর	Kirkar
মসজিদ	Mosque
টিচার	Teacher
কবিতা	Poems
নিমন্ত্রণ	Invitation
বাধে	Bound
বিরিয়াণিতেও	Biryani too
জেখানে	Where
সাফারি	Safari
ভ্যাজাল	Vajal
কোর্টে	Court
কোম্পানির	Company
এইগুলোর	Of these
জামাত	Jamaat
কোর	Core
যেটুক	Which is
কাছ	From
হয়ে	Be it
পায়েস	Pais
থামতেন	Stop
রেলমন্ত্রী	Minister of Railways
এটাই	That's it.
নির্ভরশীল	Dependent
মাল্টিমিডিয়র	Multimedia
রাংকিং	Ranking
রাসিভ	Rasive
তাকাতেও	Looking at
আবেগী	Emotional
ছাঙ্গু	Changu
আসবো	I'll come
পাঠিয়ে	Sent
ব্রেন্চ	Brenche
টুরে	Touré
আটক	Arrest
আশেপাশে	Around
বালিশের	Pillows
অপরিমিত	Unlimited
হাভাইতা	Havaita
ফাঁশি	Noose
পমান	Pomon
দিতে	To give
বাবারা	Fathers
পুলিশগোরে	In the police
মুরুক্কুদের	Murukku's
কাস্টমারদের	Customers
হিসেবে	As
কিযে	What?
সামসু	Samsu
বচন	Speech
লড়ে	Fighting
উচিল্লা	Uchilla
গেউ	Gew
মাছও	Fish too.
সন্দেহে	In doubt
ঢোকে	Enter
কারনেই	For reasons
বলিয়েন	Ballyon
পাতের	Leaves
অপরিসীম	Immense
তোরপাড়	Torpar
পোষ্ট	Post
গেছিলাম	I went
বাড়িই	Home
কিছুক্ষণ	For a while.
ভাবভঙ্গিতে	In expression
এটারি	It's
কেম্ন	Kemn
ফিল্ম	Film
ফাল	Fall
বিদ্যান	Learning
ভেদাভেদ	Discrimination
বারাইসে	In Baraise
বিছারের	Bischer's
ডিফেন্সের	On defense
মানবোনা	Don't believe
লাগাইয়েন	Lagain
কুরাআনের	Qur'an
ঝালও	Spicy
জনম	Janam
গে	Gay
চ্যানেলগুলোর	Channels
ফাসিঁ	Hanging
গা‌নের	Ga-ner
কাংলার	Kanglar
প্রতিশ্রুতি	Promises
আজকে	Today
পজিশনের	Positions
কথাটা	The word
হিল	Heels
ফেরা	Return
পাশের	Next to
মধু	Honey
ভিওয়ার	Weaver
ডিস্টার্ব	Disambig
প্রাইজড	Capitalized
পড়ছে	Reading
জাত	Caste
আযাব	The punishment
গুমাবে	Gumabe
খ্যাতনামা	Famous
নিরমুল	Absolute
কানে	In the ear
পুটকিদা	Putkida
ইফতারির	Iftar
দেখলি	I see
মাচ	Mach
সিলেকশন	Selection
মাকেও	Mother too.
অ্যালকোহল	Alcohol
শিককিত	Shikkit
প্রোগ্রামিং	Programming
রেজালা	Rezala
রাষ্ট্রীয়	State
রান	Run
মারেনা	Don't kill
আস্রয়	Asroy
ধারানোর	Dharnor
গাড়ী	Car
ব্যবহারগুলো	Uses
হত্যাকান্ডের	Of murder
নেচে	Dancing
আস্ত	Whole
ব্যন্জনের	Banjon
অপজিট	Opt-out
খাইয়েছি	I ate
নিওম	Neom
বেপসা	Bepsa
পলিশ	Polish
কুত্তারে	In the dog
নভেম্বরের	November
ভাউদা	Vauda
থাকুম	Stay tuned
দইটা	Yogurt
যদ‌ি	Yes
দেখাবেন	Show
আশাকরা	Hopefully
হর	Hor
খুদার	Khudar
দুর্ভাগ্য	Bad luck
আব্রারের	Abreuer
করেছ	You did
কর্মর্কতার	Of action
ঢাইকা	Dhaika
চাইবো	I would like
বুকের	Chest
ধান্দাবাজির	Hoaxes
পবিত্র	Holy
দেখলেই	See
কাউকাউয়ানি	Kaukauani
সবলকেল	All
লিখতেও	To write
ডেলিভারি	Delivery
নাজিমুদ্দিন	Nazimuddin
ত্রই	Trey
প্রফুল্ল	Cheerful
আজে	Today
ওচিত	Written by
হায়দ্রাবাদ	Hyderabad
৮৫	- 85
কঙ্কাল	Skeleton
শর্ষে	In the autumn
দৌনোবাদ	Daunism
করছিল	It was
চেয়েছিলাম	I wanted
মাসুম	Masum
আর্টিজান	Artisan
দেক্লেই	Declai
ইংলিশরা	The English
রাখছেন	Keeping
জিনিসরে	Things
কাগজ	Paper
জার্নালিজম	Journalism
অন্যটা	The other
বাজাচ্চে	Bajache
খামচা	Khamcha
গেচু	Gechu
বৌয়ে	Bowie
বারো	Twelve
বৌকে	To the wife
নশ	Nash
এখনো	Still
ঝুটা	Jhoota
শিলিগুড়ি	Siliguri
ল্যানডে	Lande
ভোটারের	Voters
গ্রেট	Great
হোমস	Holmes
জনসমুক্ষে	In public
জব	Job
রাজবাড়ীর	The palace
পরিমানটা	The amount
তাগরে	Tagare
কবল	Grip
জিকসন	Jackson
কাউকেই	Anyone
গাধা	Ass
কথায়	In words
গর্দভ	Gordov
লুইচ্চামি	Luichami
অনাকাক্ষিত	Unexpected
কৃত্রিমতা	Artificiality
অবয়বের	In appearance
কলাপাতাতে	On banana leaves
ইন্ডিয়ে	Indy
খোজ	Search
লাঠি	Sticks
অানা	Anna
মানালো	Manalo
রোম	Rome
ধানাই	Dhanai
দিয়েই	With
গনমানুষের	People's
ধমক	Threats
লেম	Lem
নৌয়াখাইল্লা	Naukhaila
পুজিতে	In capital
জাইগাই	Zaigai
পরিবেশে	Environment
ট্রিট	Treat
বিবিসির	BBC
হাদিসের	Hadith
টিকিট	Tickets
বালতিস্থান	Bucket space
পেংকা	Penka
হজ	Hajj
চালাতে	Run
প্যারাডাইস	Paradise
দূর্নীতিবাজদের	The corrupt
লজ্জ্বা	Shame
ব্যাবসায়	In business
দিকেই	Towards
একসঙ্গে	Together
সুসময়	Good times
এক্সপোজড	Exposed
মীঠা	Myth
সেব	Seb
খাইতেছে	Eating
কমেমেন্ট	Commentary
